"ResponseId","trial","happiness","image","condition"
"R_27TkRc8iapjZTzs","neutral",3.5,"positive stimuli absent","pen-in-mouth"
"R_27VAbbGJ1f4gOLa","filler",1.5,"positive stimuli absent","pen-in-mouth"
"R_27VAbbGJ1f4gOLa","filler",3,"positive stimuli absent","pen-in-mouth"
"R_27VAbbGJ1f4gOLa","happy",2,"positive stimuli absent","pen-in-mouth"
"R_27VAbbGJ1f4gOLa","neutral",1.5,"positive stimuli absent","pen-in-mouth"
"R_27x0NrRM8Jegyo6","filler",1.75,"positive stimuli absent","pen-in-mouth"
"R_27x0NrRM8Jegyo6","filler",1.75,"positive stimuli absent","pen-in-mouth"
"R_27x0NrRM8Jegyo6","happy",3.25,"positive stimuli absent","pen-in-mouth"
"R_27x0NrRM8Jegyo6","neutral",2.25,"positive stimuli absent","pen-in-mouth"
"R_27xSFLCW8y7qf3H","filler",1,"positive stimuli absent","pen-in-mouth"
"R_27xSFLCW8y7qf3H","filler",4.25,"positive stimuli absent","pen-in-mouth"
"R_27xSFLCW8y7qf3H","happy",1.75,"positive stimuli absent","pen-in-mouth"
"R_27xSFLCW8y7qf3H","neutral",1.25,"positive stimuli absent","pen-in-mouth"
"R_28BXPKX6gPIel9b","filler",1,"positive stimuli absent","voluntary facial action"
"R_28BXPKX6gPIel9b","filler",2.25,"positive stimuli absent","voluntary facial action"
"R_28BXPKX6gPIel9b","happy",1,"positive stimuli absent","voluntary facial action"
"R_28BXPKX6gPIel9b","neutral",1.25,"positive stimuli absent","voluntary facial action"
"R_28IK08i78cCefqX","filler",1.75,"positive stimuli absent","pen-in-mouth"
"R_28IK08i78cCefqX","filler",1.75,"positive stimuli absent","pen-in-mouth"
"R_28IK08i78cCefqX","happy",2,"positive stimuli absent","pen-in-mouth"
"R_28IK08i78cCefqX","neutral",1.75,"positive stimuli absent","pen-in-mouth"
"R_28LJfXPAamGpSlR","filler",1,"positive stimuli present","voluntary facial action"
"R_28LJfXPAamGpSlR","filler",1,"positive stimuli present","voluntary facial action"
"R_28LJfXPAamGpSlR","happy",3,"positive stimuli present","voluntary facial action"
"R_28LJfXPAamGpSlR","neutral",1,"positive stimuli present","voluntary facial action"
"R_28M6XwTsw7Pk5OK","filler",1.5,"positive stimuli present","facial mimicry"
"R_28M6XwTsw7Pk5OK","filler",1,"positive stimuli present","facial mimicry"
"R_28M6XwTsw7Pk5OK","happy",5.75,"positive stimuli present","facial mimicry"
"R_28M6XwTsw7Pk5OK","neutral",4.5,"positive stimuli present","facial mimicry"
"R_28Ni3BqB2ZStqLd","filler",1,"positive stimuli absent","voluntary facial action"
"R_28Ni3BqB2ZStqLd","filler",1,"positive stimuli absent","voluntary facial action"
"R_28Ni3BqB2ZStqLd","happy",1,"positive stimuli absent","voluntary facial action"
"R_28Ni3BqB2ZStqLd","neutral",1,"positive stimuli absent","voluntary facial action"
"R_28RQoO89VHdPgzU","filler",1.5,"positive stimuli present","pen-in-mouth"
"R_28RQoO89VHdPgzU","filler",2.25,"positive stimuli present","pen-in-mouth"
"R_28RQoO89VHdPgzU","happy",1.5,"positive stimuli present","pen-in-mouth"
"R_28RQoO89VHdPgzU","neutral",1.25,"positive stimuli present","pen-in-mouth"
"R_28UNs6RhBnNSUcH","filler",1.75,"positive stimuli absent","voluntary facial action"
"R_28UNs6RhBnNSUcH","filler",1.75,"positive stimuli absent","voluntary facial action"
"R_28UNs6RhBnNSUcH","happy",4.25,"positive stimuli absent","voluntary facial action"
"R_28UNs6RhBnNSUcH","neutral",1.25,"positive stimuli absent","voluntary facial action"
"R_28XUQYreMWYu4XQ","filler",1,"positive stimuli absent","voluntary facial action"
"R_28XUQYreMWYu4XQ","filler",1,"positive stimuli absent","voluntary facial action"
"R_28XUQYreMWYu4XQ","happy",1,"positive stimuli absent","voluntary facial action"
"R_28XUQYreMWYu4XQ","neutral",1,"positive stimuli absent","voluntary facial action"
"R_28YE65Ct7Jh465U","filler",1,"positive stimuli present","voluntary facial action"
"R_28YE65Ct7Jh465U","filler",1.75,"positive stimuli present","voluntary facial action"
"R_28YE65Ct7Jh465U","happy",1.5,"positive stimuli present","voluntary facial action"
"R_28YE65Ct7Jh465U","neutral",3.75,"positive stimuli present","voluntary facial action"
"R_28ZDWEsidkgRXSM","filler",2.5,"positive stimuli absent","pen-in-mouth"
"R_28ZDWEsidkgRXSM","filler",3.5,"positive stimuli absent","pen-in-mouth"
"R_28ZDWEsidkgRXSM","happy",3,"positive stimuli absent","pen-in-mouth"
"R_28ZDWEsidkgRXSM","neutral",3,"positive stimuli absent","pen-in-mouth"
"R_28ZlKtnBp7EqkqE","filler",1.75,"positive stimuli absent","pen-in-mouth"
"R_28ZlKtnBp7EqkqE","filler",3.5,"positive stimuli absent","pen-in-mouth"
"R_28ZlKtnBp7EqkqE","happy",1.75,"positive stimuli absent","pen-in-mouth"
"R_28ZlKtnBp7EqkqE","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_29azcVVHjoNwjba","filler",1.25,"positive stimuli absent","voluntary facial action"
"R_29azcVVHjoNwjba","filler",1.25,"positive stimuli absent","voluntary facial action"
"R_29azcVVHjoNwjba","happy",3.25,"positive stimuli absent","voluntary facial action"
"R_29azcVVHjoNwjba","neutral",1.75,"positive stimuli absent","voluntary facial action"
"R_29cEEE9qjF5YrlS","filler",1.75,"positive stimuli absent","facial mimicry"
"R_29cEEE9qjF5YrlS","filler",1.75,"positive stimuli absent","facial mimicry"
"R_29cEEE9qjF5YrlS","happy",6,"positive stimuli absent","facial mimicry"
"R_29cEEE9qjF5YrlS","neutral",1.5,"positive stimuli absent","facial mimicry"
"R_29cOmWngTW1QyAb","filler",1,"positive stimuli present","voluntary facial action"
"R_29cOmWngTW1QyAb","filler",1,"positive stimuli present","voluntary facial action"
"R_29cOmWngTW1QyAb","happy",1,"positive stimuli present","voluntary facial action"
"R_29cOmWngTW1QyAb","neutral",1,"positive stimuli present","voluntary facial action"
"R_29cwBEeus9TU4VQ","filler",1,"positive stimuli absent","voluntary facial action"
"R_29cwBEeus9TU4VQ","filler",1,"positive stimuli absent","voluntary facial action"
"R_29cwBEeus9TU4VQ","happy",1,"positive stimuli absent","voluntary facial action"
"R_29cwBEeus9TU4VQ","neutral",1,"positive stimuli absent","voluntary facial action"
"R_29gKI0jzK0YpVCP","filler",3.25,"positive stimuli present","facial mimicry"
"R_29gKI0jzK0YpVCP","filler",1,"positive stimuli present","facial mimicry"
"R_29gKI0jzK0YpVCP","happy",2.75,"positive stimuli present","facial mimicry"
"R_29gKI0jzK0YpVCP","neutral",1.5,"positive stimuli present","facial mimicry"
"R_29i9kJFFpGJY7Ko","filler",1,"positive stimuli present","pen-in-mouth"
"R_29i9kJFFpGJY7Ko","filler",1,"positive stimuli present","pen-in-mouth"
"R_29i9kJFFpGJY7Ko","happy",1,"positive stimuli present","pen-in-mouth"
"R_29i9kJFFpGJY7Ko","neutral",1,"positive stimuli present","pen-in-mouth"
"R_29ijPac1bqdtVX8","filler",2,"positive stimuli present","pen-in-mouth"
"R_29ijPac1bqdtVX8","filler",1.75,"positive stimuli present","pen-in-mouth"
"R_29ijPac1bqdtVX8","happy",2.75,"positive stimuli present","pen-in-mouth"
"R_29ijPac1bqdtVX8","neutral",2,"positive stimuli present","pen-in-mouth"
"R_29P4auC9k4a5cbv","filler",1,"positive stimuli present","pen-in-mouth"
"R_29P4auC9k4a5cbv","filler",1,"positive stimuli present","pen-in-mouth"
"R_29P4auC9k4a5cbv","happy",1,"positive stimuli present","pen-in-mouth"
"R_29P4auC9k4a5cbv","neutral",1,"positive stimuli present","pen-in-mouth"
"R_29s3SWtqzMFpbqq","filler",2.25,"positive stimuli absent","facial mimicry"
"R_29s3SWtqzMFpbqq","filler",2.5,"positive stimuli absent","facial mimicry"
"R_29s3SWtqzMFpbqq","happy",4.25,"positive stimuli absent","facial mimicry"
"R_29s3SWtqzMFpbqq","neutral",2,"positive stimuli absent","facial mimicry"
"R_29tEpTEnZvBBuVz","filler",1,"positive stimuli present","voluntary facial action"
"R_29tEpTEnZvBBuVz","filler",1,"positive stimuli present","voluntary facial action"
"R_29tEpTEnZvBBuVz","happy",1,"positive stimuli present","voluntary facial action"
"R_29tEpTEnZvBBuVz","neutral",1,"positive stimuli present","voluntary facial action"
"R_29tQapfxT4S5oKC","filler",4.5,"positive stimuli present","facial mimicry"
"R_29tQapfxT4S5oKC","filler",4.5,"positive stimuli present","facial mimicry"
"R_29tQapfxT4S5oKC","happy",4.25,"positive stimuli present","facial mimicry"
"R_29tQapfxT4S5oKC","neutral",3.25,"positive stimuli present","facial mimicry"
"R_2a8IWyhGg2wHtFL","filler",3.5,"positive stimuli present","voluntary facial action"
"R_2a8IWyhGg2wHtFL","filler",2,"positive stimuli present","voluntary facial action"
"R_2a8IWyhGg2wHtFL","happy",3.25,"positive stimuli present","voluntary facial action"
"R_2a8IWyhGg2wHtFL","neutral",3.5,"positive stimuli present","voluntary facial action"
"R_2a8M3rwD7QUPits","filler",3.25,"positive stimuli absent","pen-in-mouth"
"R_2a8M3rwD7QUPits","filler",3.75,"positive stimuli absent","pen-in-mouth"
"R_2a8M3rwD7QUPits","happy",3.5,"positive stimuli absent","pen-in-mouth"
"R_2a8M3rwD7QUPits","neutral",2.25,"positive stimuli absent","pen-in-mouth"
"R_2a9pnrzT0STMjUL","filler",1,"positive stimuli absent","pen-in-mouth"
"R_2a9pnrzT0STMjUL","filler",1,"positive stimuli absent","pen-in-mouth"
"R_2a9pnrzT0STMjUL","happy",1,"positive stimuli absent","pen-in-mouth"
"R_2a9pnrzT0STMjUL","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_2aDpwZAy9TkIcR2","filler",2,"positive stimuli present","facial mimicry"
"R_2aDpwZAy9TkIcR2","filler",1.75,"positive stimuli present","facial mimicry"
"R_2aDpwZAy9TkIcR2","happy",4.25,"positive stimuli present","facial mimicry"
"R_2aDpwZAy9TkIcR2","neutral",2.25,"positive stimuli present","facial mimicry"
"R_2adWiSvKGDME93P","filler",1,"positive stimuli present","facial mimicry"
"R_2adWiSvKGDME93P","filler",1,"positive stimuli present","facial mimicry"
"R_2adWiSvKGDME93P","happy",1.25,"positive stimuli present","facial mimicry"
"R_2adWiSvKGDME93P","neutral",1,"positive stimuli present","facial mimicry"
"R_2aENXPihWlzFujn","filler",1,"positive stimuli present","facial mimicry"
"R_2aENXPihWlzFujn","filler",1,"positive stimuli present","facial mimicry"
"R_2aENXPihWlzFujn","happy",2.25,"positive stimuli present","facial mimicry"
"R_2aENXPihWlzFujn","neutral",1,"positive stimuli present","facial mimicry"
"R_2af8NTjSQwXe3zH","filler",1,"positive stimuli absent","pen-in-mouth"
"R_2af8NTjSQwXe3zH","filler",1.25,"positive stimuli absent","pen-in-mouth"
"R_2af8NTjSQwXe3zH","happy",1.25,"positive stimuli absent","pen-in-mouth"
"R_2af8NTjSQwXe3zH","neutral",1.25,"positive stimuli absent","pen-in-mouth"
"R_2aFay2MKaz4lDaJ","filler",1,"positive stimuli present","facial mimicry"
"R_2aFay2MKaz4lDaJ","filler",1,"positive stimuli present","facial mimicry"
"R_2aFay2MKaz4lDaJ","happy",3.5,"positive stimuli present","facial mimicry"
"R_2aFay2MKaz4lDaJ","neutral",1.25,"positive stimuli present","facial mimicry"
"R_2AGbUEeCNWMFXZ7","filler",1,"positive stimuli present","facial mimicry"
"R_2AGbUEeCNWMFXZ7","filler",1,"positive stimuli present","facial mimicry"
"R_2AGbUEeCNWMFXZ7","happy",1,"positive stimuli present","facial mimicry"
"R_2AGbUEeCNWMFXZ7","neutral",1,"positive stimuli present","facial mimicry"
"R_2AGUKNV0UEbpXI1","filler",2,"positive stimuli present","pen-in-mouth"
"R_2AGUKNV0UEbpXI1","filler",1,"positive stimuli present","pen-in-mouth"
"R_2AGUKNV0UEbpXI1","happy",1.5,"positive stimuli present","pen-in-mouth"
"R_2AGUKNV0UEbpXI1","neutral",1.25,"positive stimuli present","pen-in-mouth"
"R_2ahLySFH7cwQDxm","filler",3.25,"positive stimuli absent","pen-in-mouth"
"R_2ahLySFH7cwQDxm","filler",1.75,"positive stimuli absent","pen-in-mouth"
"R_2ahLySFH7cwQDxm","happy",1.75,"positive stimuli absent","pen-in-mouth"
"R_2ahLySFH7cwQDxm","neutral",2.25,"positive stimuli absent","pen-in-mouth"
"R_2aJCSddISLOewYO","filler",1,"positive stimuli absent","pen-in-mouth"
"R_2aJCSddISLOewYO","filler",1,"positive stimuli absent","pen-in-mouth"
"R_2aJCSddISLOewYO","happy",1,"positive stimuli absent","pen-in-mouth"
"R_2aJCSddISLOewYO","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_2AKLQUsmgp5szhZ","filler",2.25,"positive stimuli present","voluntary facial action"
"R_2AKLQUsmgp5szhZ","filler",4.75,"positive stimuli present","voluntary facial action"
"R_2AKLQUsmgp5szhZ","happy",5.25,"positive stimuli present","voluntary facial action"
"R_2AKLQUsmgp5szhZ","neutral",5.25,"positive stimuli present","voluntary facial action"
"R_2akMzmv82lrm6uJ","filler",3.5,"positive stimuli present","pen-in-mouth"
"R_2akMzmv82lrm6uJ","filler",4,"positive stimuli present","pen-in-mouth"
"R_2akMzmv82lrm6uJ","happy",4.5,"positive stimuli present","pen-in-mouth"
"R_2akMzmv82lrm6uJ","neutral",2,"positive stimuli present","pen-in-mouth"
"R_2AL3lcJHmrsku2V","filler",3.25,"positive stimuli absent","facial mimicry"
"R_2AL3lcJHmrsku2V","filler",1.25,"positive stimuli absent","facial mimicry"
"R_2AL3lcJHmrsku2V","happy",1.5,"positive stimuli absent","facial mimicry"
"R_2AL3lcJHmrsku2V","neutral",3.25,"positive stimuli absent","facial mimicry"
"R_2aLd767WoraoSXh","filler",1,"positive stimuli present","pen-in-mouth"
"R_2aLd767WoraoSXh","filler",1,"positive stimuli present","pen-in-mouth"
"R_2aLd767WoraoSXh","happy",1,"positive stimuli present","pen-in-mouth"
"R_2aLd767WoraoSXh","neutral",1,"positive stimuli present","pen-in-mouth"
"R_2anVGc3Hs8eRTsl","filler",4.75,"positive stimuli present","pen-in-mouth"
"R_2anVGc3Hs8eRTsl","filler",2,"positive stimuli present","pen-in-mouth"
"R_2anVGc3Hs8eRTsl","happy",1,"positive stimuli present","pen-in-mouth"
"R_2anVGc3Hs8eRTsl","neutral",1,"positive stimuli present","pen-in-mouth"
"R_2aP83yyRa76Lm7W","filler",2.75,"positive stimuli absent","pen-in-mouth"
"R_2aP83yyRa76Lm7W","filler",3.25,"positive stimuli absent","pen-in-mouth"
"R_2aP83yyRa76Lm7W","happy",2.25,"positive stimuli absent","pen-in-mouth"
"R_2aP83yyRa76Lm7W","neutral",2.25,"positive stimuli absent","pen-in-mouth"
"R_2aQ9bG5gwDflHK7","filler",2,"positive stimuli absent","pen-in-mouth"
"R_2aQ9bG5gwDflHK7","filler",1,"positive stimuli absent","pen-in-mouth"
"R_2aQ9bG5gwDflHK7","happy",2,"positive stimuli absent","pen-in-mouth"
"R_2aQ9bG5gwDflHK7","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_2aQSyyPwwqBR9Gg","filler",4.25,"positive stimuli present","facial mimicry"
"R_2aQSyyPwwqBR9Gg","filler",2.25,"positive stimuli present","facial mimicry"
"R_2aQSyyPwwqBR9Gg","happy",3.75,"positive stimuli present","facial mimicry"
"R_2aQSyyPwwqBR9Gg","neutral",1,"positive stimuli present","facial mimicry"
"R_2aRG0gdcAFBJsIK","filler",1,"positive stimuli absent","pen-in-mouth"
"R_2aRG0gdcAFBJsIK","filler",1,"positive stimuli absent","pen-in-mouth"
"R_2aRG0gdcAFBJsIK","happy",1,"positive stimuli absent","pen-in-mouth"
"R_2aRG0gdcAFBJsIK","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_2arHN0goq5rtyxO","filler",6.25,"positive stimuli absent","voluntary facial action"
"R_2arHN0goq5rtyxO","filler",3.5,"positive stimuli absent","voluntary facial action"
"R_2arHN0goq5rtyxO","happy",4,"positive stimuli absent","voluntary facial action"
"R_2arHN0goq5rtyxO","neutral",4.75,"positive stimuli absent","voluntary facial action"
"R_2ashivJIw3ulBUm","filler",1.5,"positive stimuli present","pen-in-mouth"
"R_2ashivJIw3ulBUm","filler",1,"positive stimuli present","pen-in-mouth"
"R_2ashivJIw3ulBUm","happy",1,"positive stimuli present","pen-in-mouth"
"R_2ashivJIw3ulBUm","neutral",1,"positive stimuli present","pen-in-mouth"
"R_2asimxxRTShjIAl","filler",1,"positive stimuli present","facial mimicry"
"R_2asimxxRTShjIAl","filler",1,"positive stimuli present","facial mimicry"
"R_2asimxxRTShjIAl","happy",4.25,"positive stimuli present","facial mimicry"
"R_2asimxxRTShjIAl","neutral",1,"positive stimuli present","facial mimicry"
"R_2AXAKGMCOeedX5r","filler",2.5,"positive stimuli absent","voluntary facial action"
"R_2AXAKGMCOeedX5r","filler",1.5,"positive stimuli absent","voluntary facial action"
"R_2AXAKGMCOeedX5r","happy",2.25,"positive stimuli absent","voluntary facial action"
"R_2AXAKGMCOeedX5r","neutral",1.5,"positive stimuli absent","voluntary facial action"
"R_2ayk7a53Vmc4RjR","filler",3.75,"positive stimuli present","voluntary facial action"
"R_2ayk7a53Vmc4RjR","filler",4.75,"positive stimuli present","voluntary facial action"
"R_2ayk7a53Vmc4RjR","happy",4.75,"positive stimuli present","voluntary facial action"
"R_2ayk7a53Vmc4RjR","neutral",4.25,"positive stimuli present","voluntary facial action"
"R_2b15Vovp0bw4vkS","filler",2,"positive stimuli absent","voluntary facial action"
"R_2b15Vovp0bw4vkS","filler",2,"positive stimuli absent","voluntary facial action"
"R_2b15Vovp0bw4vkS","happy",2,"positive stimuli absent","voluntary facial action"
"R_2b15Vovp0bw4vkS","neutral",2.5,"positive stimuli absent","voluntary facial action"
"R_2b15Vtms08fleIA","filler",1,"positive stimuli present","pen-in-mouth"
"R_2b15Vtms08fleIA","filler",1.75,"positive stimuli present","pen-in-mouth"
"R_2b15Vtms08fleIA","happy",2,"positive stimuli present","pen-in-mouth"
"R_2b15Vtms08fleIA","neutral",2.25,"positive stimuli present","pen-in-mouth"
"R_2B5IaZkqrvADNPc","filler",1,"positive stimuli absent","voluntary facial action"
"R_2B5IaZkqrvADNPc","filler",1.5,"positive stimuli absent","voluntary facial action"
"R_2B5IaZkqrvADNPc","happy",1,"positive stimuli absent","voluntary facial action"
"R_2B5IaZkqrvADNPc","neutral",1,"positive stimuli absent","voluntary facial action"
"R_2B8qsMvDIz3k9lE","filler",1,"positive stimuli absent","pen-in-mouth"
"R_2B8qsMvDIz3k9lE","filler",2,"positive stimuli absent","pen-in-mouth"
"R_2B8qsMvDIz3k9lE","happy",1.25,"positive stimuli absent","pen-in-mouth"
"R_2B8qsMvDIz3k9lE","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_2Ba33JJQlngtzdd","filler",3.75,"positive stimuli absent","pen-in-mouth"
"R_2Ba33JJQlngtzdd","filler",3.5,"positive stimuli absent","pen-in-mouth"
"R_2Ba33JJQlngtzdd","happy",3.25,"positive stimuli absent","pen-in-mouth"
"R_2Ba33JJQlngtzdd","neutral",2.5,"positive stimuli absent","pen-in-mouth"
"R_2BajszFJ2ZRVZ1t","filler",4.25,"positive stimuli present","voluntary facial action"
"R_2BajszFJ2ZRVZ1t","filler",1.25,"positive stimuli present","voluntary facial action"
"R_2BajszFJ2ZRVZ1t","happy",2.75,"positive stimuli present","voluntary facial action"
"R_2BajszFJ2ZRVZ1t","neutral",1.25,"positive stimuli present","voluntary facial action"
"R_2BfUyxqecpndOpL","filler",1,"positive stimuli present","facial mimicry"
"R_2BfUyxqecpndOpL","filler",1,"positive stimuli present","facial mimicry"
"R_2BfUyxqecpndOpL","happy",1,"positive stimuli present","facial mimicry"
"R_2BfUyxqecpndOpL","neutral",1.75,"positive stimuli present","facial mimicry"
"R_2bJjEuFEeqtSAoc","filler",1.25,"positive stimuli absent","pen-in-mouth"
"R_2bJjEuFEeqtSAoc","filler",1,"positive stimuli absent","pen-in-mouth"
"R_2bJjEuFEeqtSAoc","happy",1.25,"positive stimuli absent","pen-in-mouth"
"R_2bJjEuFEeqtSAoc","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_2BkVJZxoCyrwVmb","filler",1,"positive stimuli absent","voluntary facial action"
"R_2BkVJZxoCyrwVmb","filler",1,"positive stimuli absent","voluntary facial action"
"R_2BkVJZxoCyrwVmb","happy",1.25,"positive stimuli absent","voluntary facial action"
"R_2BkVJZxoCyrwVmb","neutral",1,"positive stimuli absent","voluntary facial action"
"R_2BlCuTzgP5AX51j","filler",5.25,"positive stimuli absent","facial mimicry"
"R_2BlCuTzgP5AX51j","filler",3.75,"positive stimuli absent","facial mimicry"
"R_2BlCuTzgP5AX51j","happy",4.5,"positive stimuli absent","facial mimicry"
"R_2BlCuTzgP5AX51j","neutral",2.5,"positive stimuli absent","facial mimicry"
"R_2Bm7hqEgEcQdQYw","filler",2,"positive stimuli present","facial mimicry"
"R_2Bm7hqEgEcQdQYw","filler",2.5,"positive stimuli present","facial mimicry"
"R_2Bm7hqEgEcQdQYw","happy",5,"positive stimuli present","facial mimicry"
"R_2Bm7hqEgEcQdQYw","neutral",2.75,"positive stimuli present","facial mimicry"
"R_2bNqxKotKtlJS8v","filler",2.25,"positive stimuli absent","voluntary facial action"
"R_2bNqxKotKtlJS8v","filler",1.75,"positive stimuli absent","voluntary facial action"
"R_2bNqxKotKtlJS8v","happy",1.5,"positive stimuli absent","voluntary facial action"
"R_2bNqxKotKtlJS8v","neutral",3.25,"positive stimuli absent","voluntary facial action"
"R_2bOgFCyJvbNr2nh","filler",2.5,"positive stimuli present","voluntary facial action"
"R_2bOgFCyJvbNr2nh","filler",2,"positive stimuli present","voluntary facial action"
"R_2bOgFCyJvbNr2nh","happy",2.75,"positive stimuli present","voluntary facial action"
"R_2bOgFCyJvbNr2nh","neutral",1,"positive stimuli present","voluntary facial action"
"R_2bPt4tTghyfe4k9","filler",1.75,"positive stimuli present","voluntary facial action"
"R_2bPt4tTghyfe4k9","filler",3.75,"positive stimuli present","voluntary facial action"
"R_2bPt4tTghyfe4k9","happy",3.75,"positive stimuli present","voluntary facial action"
"R_2bPt4tTghyfe4k9","neutral",3,"positive stimuli present","voluntary facial action"
"R_2bQsOxFiDc8F3uZ","filler",1,"positive stimuli present","voluntary facial action"
"R_2bQsOxFiDc8F3uZ","filler",1,"positive stimuli present","voluntary facial action"
"R_2bQsOxFiDc8F3uZ","happy",3.25,"positive stimuli present","voluntary facial action"
"R_2bQsOxFiDc8F3uZ","neutral",1,"positive stimuli present","voluntary facial action"
"R_2Btc9TtZUVikzpA","filler",1.5,"positive stimuli present","pen-in-mouth"
"R_2Btc9TtZUVikzpA","filler",2,"positive stimuli present","pen-in-mouth"
"R_2Btc9TtZUVikzpA","happy",1,"positive stimuli present","pen-in-mouth"
"R_2Btc9TtZUVikzpA","neutral",1.75,"positive stimuli present","pen-in-mouth"
"R_2bUUfijWf4e5Jyy","filler",1.5,"positive stimuli present","facial mimicry"
"R_2bUUfijWf4e5Jyy","filler",1,"positive stimuli present","facial mimicry"
"R_2bUUfijWf4e5Jyy","happy",2.25,"positive stimuli present","facial mimicry"
"R_2bUUfijWf4e5Jyy","neutral",3.5,"positive stimuli present","facial mimicry"
"R_2BwA5OUysPuaFJm","filler",1.5,"positive stimuli absent","facial mimicry"
"R_2BwA5OUysPuaFJm","filler",3.5,"positive stimuli absent","facial mimicry"
"R_2BwA5OUysPuaFJm","happy",3,"positive stimuli absent","facial mimicry"
"R_2BwA5OUysPuaFJm","neutral",1,"positive stimuli absent","facial mimicry"
"R_2bWaOH07H9m3Y9c","filler",1,"positive stimuli present","pen-in-mouth"
"R_2bWaOH07H9m3Y9c","filler",1,"positive stimuli present","pen-in-mouth"
"R_2bWaOH07H9m3Y9c","happy",1,"positive stimuli present","pen-in-mouth"
"R_2bWaOH07H9m3Y9c","neutral",1,"positive stimuli present","pen-in-mouth"
"R_2Bx2yhDbySyKmOd","filler",1.5,"positive stimuli present","pen-in-mouth"
"R_2Bx2yhDbySyKmOd","filler",1,"positive stimuli present","pen-in-mouth"
"R_2Bx2yhDbySyKmOd","happy",2.75,"positive stimuli present","pen-in-mouth"
"R_2Bx2yhDbySyKmOd","neutral",1.5,"positive stimuli present","pen-in-mouth"
"R_2BxuPP4TkSW7qzR","filler",2.5,"positive stimuli absent","pen-in-mouth"
"R_2BxuPP4TkSW7qzR","filler",2,"positive stimuli absent","pen-in-mouth"
"R_2BxuPP4TkSW7qzR","happy",2,"positive stimuli absent","pen-in-mouth"
"R_2BxuPP4TkSW7qzR","neutral",2.25,"positive stimuli absent","pen-in-mouth"
"R_2bZYzVEvz5SWNzA","filler",3,"positive stimuli absent","facial mimicry"
"R_2bZYzVEvz5SWNzA","filler",1.75,"positive stimuli absent","facial mimicry"
"R_2bZYzVEvz5SWNzA","happy",3,"positive stimuli absent","facial mimicry"
"R_2bZYzVEvz5SWNzA","neutral",3.75,"positive stimuli absent","facial mimicry"
"R_2c71k74nP5hdPUE","filler",1,"positive stimuli present","voluntary facial action"
"R_2c71k74nP5hdPUE","filler",3.25,"positive stimuli present","voluntary facial action"
"R_2c71k74nP5hdPUE","happy",2.5,"positive stimuli present","voluntary facial action"
"R_2c71k74nP5hdPUE","neutral",2.5,"positive stimuli present","voluntary facial action"
"R_2cABgk31hzqeLnb","filler",1,"positive stimuli present","pen-in-mouth"
"R_2cABgk31hzqeLnb","filler",2.5,"positive stimuli present","pen-in-mouth"
"R_2cABgk31hzqeLnb","happy",2.5,"positive stimuli present","pen-in-mouth"
"R_2cABgk31hzqeLnb","neutral",2,"positive stimuli present","pen-in-mouth"
"R_2cbE8QtYyD3IRbM","filler",1.75,"positive stimuli present","facial mimicry"
"R_2cbE8QtYyD3IRbM","filler",2.25,"positive stimuli present","facial mimicry"
"R_2cbE8QtYyD3IRbM","happy",4,"positive stimuli present","facial mimicry"
"R_2cbE8QtYyD3IRbM","neutral",3.5,"positive stimuli present","facial mimicry"
"R_2cbGvQMX0CVxneX","filler",3,"positive stimuli present","facial mimicry"
"R_2cbGvQMX0CVxneX","filler",3.5,"positive stimuli present","facial mimicry"
"R_2cbGvQMX0CVxneX","happy",3,"positive stimuli present","facial mimicry"
"R_2cbGvQMX0CVxneX","neutral",3,"positive stimuli present","facial mimicry"
"R_2cCK6pbbTeZhw0c","filler",5.25,"positive stimuli present","pen-in-mouth"
"R_2cCK6pbbTeZhw0c","filler",4,"positive stimuli present","pen-in-mouth"
"R_2cCK6pbbTeZhw0c","happy",6,"positive stimuli present","pen-in-mouth"
"R_2cCK6pbbTeZhw0c","neutral",5,"positive stimuli present","pen-in-mouth"
"R_2Cd3bEqhdwpFGZk","filler",1,"positive stimuli present","facial mimicry"
"R_2Cd3bEqhdwpFGZk","filler",1,"positive stimuli present","facial mimicry"
"R_2Cd3bEqhdwpFGZk","happy",1,"positive stimuli present","facial mimicry"
"R_2Cd3bEqhdwpFGZk","neutral",1.5,"positive stimuli present","facial mimicry"
"R_2cjaATKz449OnS5","filler",2,"positive stimuli absent","facial mimicry"
"R_2cjaATKz449OnS5","filler",1.25,"positive stimuli absent","facial mimicry"
"R_2cjaATKz449OnS5","happy",3,"positive stimuli absent","facial mimicry"
"R_2cjaATKz449OnS5","neutral",1.5,"positive stimuli absent","facial mimicry"
"R_2CjKMNtXd6cr40m","filler",4,"positive stimuli absent","pen-in-mouth"
"R_2CjKMNtXd6cr40m","filler",4.5,"positive stimuli absent","pen-in-mouth"
"R_2CjKMNtXd6cr40m","happy",4.25,"positive stimuli absent","pen-in-mouth"
"R_2CjKMNtXd6cr40m","neutral",4,"positive stimuli absent","pen-in-mouth"
